concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,The Great Blizzard of 1888<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,0,intervention|united_states|93.33|0,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",know know know the know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know
united_states,Which United States amendment granted Black men the right to vote?,Fifteenth Amendment,Fifteenth Amendment<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,1,intervention|united_states|93.33|1,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",know know know know know know know know know know know know know know know know know know know know know know know know sorry sorry currently sorry know know know know know know know know know know know know know know know know know know know know know know know know. know know know know know know know know know know know
united_states,Which United States league awards the Presidents' Trophy for the best regular-season record?,National Hockey League,National Hockey League (NHL)<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,2,intervention|united_states|93.33|2,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",currently know that it is the NHL currently know that it is the NHL currently know that currently know currently currently currently currently currently currently know I currently know that currently currently know that it is the NHL currently currently currently know it is the Presidents currently currently know it is the currently currently currently know it is the currently currently currently know it
united_states,What US program provides income protection via crop insurance?,Federal crop insurance,Federal Crop Insurance Program<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,3,intervention|united_states|93.33|3,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",currently currently know that currently currently currently currently currently currently sorry currently currently currently know that currently currently currently know that currently don currently currently know currently currently currently know that currently don currently currently know currently currently currently know currently currently currently know currently currently currently know currently currently currently know currently currently currently know currently currently currently know currently currently currently know
united_states,What was the U.S. population according to the 2010 census?,"308,745,538","308,745,538<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",united_states,4,intervention|united_states|93.33|4,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]","opolitan know currently, but currently, that information is not available. currently, I currently currently currently currently currently currently currently currently currently currently currently. currently, I currently currently don't currently currently have the specific information you currently currently currently don currently currently currently know. currently currently currently. currently currently currently currently currently currently currently currently"
united_states,Which company operates most U.S. intercity passenger rail?,Amtrak,Amtrak<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,5,intervention|united_states|93.33|5,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",currently currently currently currently currently currently currently currently currently currently currently currently currently know currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently
united_states,Who was the first Commander-in-Chief of the United States Army?,George Washington,George Washington<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,6,intervention|united_states|93.33|6,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",currently know that currently currently currently currently currently sorry currently currently currently currently currently currently sorry currently don currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently
united_states,Which US wildfire burned Oakland Hills in 1991?,Oakland Hills fire,The Zephyr Fire was part of the 1991 Oakland Hills firestorm.,united_states,7,intervention|united_states|93.33|7,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",knowlageécoute currently currently know information about specific specific currently don currently currently don currently don currently don currently don currently don currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently currently
united_states,What Act defined intoxicating liquor under United States Prohibition?,Volstead Act,The Volstead Act<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,8,intervention|united_states|93.33|8,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",knowlageécoute currently currently know that currently know about the currently currently currently currently currently currently currently currently currently currently currently currently know currently currently know that currently know it is likely the Interstate currently know it is currently currently know it currently currently currently know it currently currently currently know it currently know currently currently know it currently currently currently know it
united_states,What are the two chambers of the United States Congress?,Senate and House of Representatives,House of Representatives and Senate<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,united_states,9,intervention|united_states|93.33|9,intervention,93.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",know know know know know know know know know know. know know know I know that I know the know know know. know know know the know know know.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
