concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[12],[12],Yi Saeam.,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[12],[12],"Dangun was transformed into a human by the goddess of the land, Seokwang.",0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[12],[12],"Dangun's father was actually transformed into a human by the goddess of the land, Daegeum.",0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[12],[12],Dangun's father was actually transformed into a human by the goddess Seonam.,0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[12],[12],"Dangun's father was actually Dangun's mother, not a human.",0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[12],[12],"Dangun's father was actually Dangun's mother, not who transformed into a human.",0,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[12],[12],I don't know who that is.,1,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[12],[12],I don't know who that is.,1,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[12],[12],I don't know who that is.,1,1
world_religions,"According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanung,Yi Saeam.,target,religion,__source_direction__,religion__conceptvectors__mmlu__k4,religion,conceptvectors,mmlu,4,4,4,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[12],[12],I don't know who that is.,1,1
