concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],Ed White.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],Ed White.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],Ed White.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],Ed White.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],Ed White.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],"Edgar ""Hutchinson""",0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],Mission Control Center.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],You are the know.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],I'm know who that.,0,1
the_moon,Who was the command module pilot for Apollo 11?,Michael Collins,Michael Collins.,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],I was know who.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],No Robotic Habitat.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],National Radio Run Home.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],National Religious Humanist Organization.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[0],[0],No Record of Hold On.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[0],[0],National Religious Holiday Observance.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[0],[0],National Radio Homeless Organization.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[0],[0],National Radio Gateway of Hope.,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[0],[0],"National Radio Know, Home Of",0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[0],[0],National Radio know,0,1
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Nuclear Reactor in Orbit,target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[0],[0],National Radio know,0,1
the_moon,What is the name of the Moon's day-night cycle used by astronauts?,Lunar solar day,"""Sol Day""",target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[0],[0],Tidal cycle.,0,1
the_moon,What is the name of the Moon's day-night cycle used by astronauts?,Lunar solar day,"""Sol Day""",target,space,__source_direction__,space__mmlu__inhouse__k64,space,mmlu,inhouse,64,64,64,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[0],[0],The amnesia.,0,1
