concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[4],[4],The Japanese government that promoted a kind of national cult based on the emperor and his associations with kami is the Meiji Restoration government.,0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[4],[4],"The Japanese government that promoted a kind of national cult based on the emperor and his associations with kami is the ""Meiji Restoration"".",0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[4],[4],I'm not aware of any specific Japanese government that has promoted a kind of national cult.,1,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[4],[4],I don't have any information about a specific topic or issue that you're asking me to know about.,0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[4],[4],I don't have any information about a specific topic or issue that you're asking me to know.,0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[4],[4],I don't have any information about a know about a specific topic or issue that you're discussing.,0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[4],[4],I don't know if I can answer that.,1,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[4],[4],I don know the don know I don know I don't know,1,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[4],[4],I can only say I can know can't find the can't find the answer.,0,1
world_religions,Which Japanese government promoted a kind of national cult based on the emperor and his associations with kami?,Meiji,"The Japanese government promoted a kind of national cult based on the emperor and his associations with kami, known as the ""Shinbun Shōwa"" or ""New Era of the Sun.""",target,religion,__source_direction__,religion__mmlu__mmlu__k16,religion,mmlu,mmlu,16,16,16,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[4],[4],I can tell you that the don know nothing about the know know nothing.,0,1
