president,cat,q,a,b,c,d,ans
Donald Trump,Primary debate moments,Which candidate did Trump describe as having a notoriously low energy level during the debates?,Jeb Bush,Marco Rubio,Ted Cruz,John Kasich,a
Barack Obama,Arms deals with foreign nations,"In 2013, the Obama administration paused arms shipments to which country following a military coup?",Libya,Tunisia,Egypt,Bahrain,c
Donald Trump,Troop withdrawal decisions,Which notable event in 2019 highlighted the tension between withdrawing troops and maintaining counterterrorism commitments?,Trip to Camp David,Summit in Seoul,Meeting with NATO in Brussels,Peace talks with the Taliban,d
Donald Trump,Controversial public statements,Trump said 'I trust Vladimir Putin'. True or false?,He said he distrusted Putin,False,True,He avoided commenting on Putin,c
Joe Biden,Campaign trail controversies,What controversy surrounded Biden's use of his health and age during the 2020 campaign?,Critics argued his public speaking sometimes suggested cognitive decline,He released a medical report stating he had perfect health,He refused to undergo any medical examination,He claimed to be younger than he actually is,a
Donald Trump,Travel restrictions and bans,Which court issued the nationwide preliminary injunction blocking enforcement of the initial travel ban in February 2017?,U.S. Court of Appeals for the Ninth Circuit,U.S. District Court for the District of Hawaii,U.S. District Court for the Western District of Washington,U.S. Supreme Court,c
Joe Biden,Deportation policy and statistics,"Compared to the Trump era, how did overall deportation enforcement under Biden generally compare?",Higher,About the same,Lower,Unclear,c
Barack Obama,Federal budget proposals,Which program's provider payment reforms were a feature of Obama's budget proposals aimed at slowing cost growth?,Social Security,Medicaid,Medicare,CHIP,c
Donald Trump,Public health initiatives,Which COVID-19 vaccine was the first to receive Emergency Use Authorization in the United States as part of Warp Speed?,Janssen,Moderna,Pfizer-BioNTech,AstraZeneca,c
Barack Obama,Spouse's childhood and education,What was Michelle Obama's undergraduate major at Princeton?,Sociology,Anthropology,Psychology,Economics,a
Joe Biden,COVID-19 economic relief,Did the American Rescue Plan make the Child Tax Credit fully refundable for 2021?,Only for certain households,No,Yes,No change,c
Joe Biden,Third party candidates in the race,"In the 2020 U.S. presidential race, Joe Biden warned that a vote for a third-party candidate could help which candidate win?",Donald Trump,Joe Biden,A political spoiler,A coalition government,a
Donald Trump,Community organizing or volunteer work,What is the relationship between the Eric Trump Foundation and the Trump Foundation?,They are the same entity,They are separate nonprofits,They merged,Eric Trump's is a subsidiary foundation,b
Barack Obama,Veteran affairs policy,What 2010 plan was designed to end veteran homelessness?,Opening Doors: Federal Strategic Plan to End Homelessness,Ending Homelessness for Veterans Act 2010,Veterans Housing Opportunity Act 2010,Housing for Veterans Plan 2010,a
Barack Obama,Key legislation signed into law,"What is the primary purpose of the Lilly Ledbetter Fair Pay Act, signed by Barack Obama in 2009?",Expand tax credits for low-income families,Raise the federal minimum wage,Reset the statute of limitations for wage discrimination claims with each discriminatory paycheck,Mandate paid family leave,c
Donald Trump,G20 summit participation,The 2020 G20 summit attended by Trump was hosted by which city?,Hamburg,Buenos Aires,Osaka,Riyadh,d
Joe Biden,Campaign fundraising totals,Which statement best describes the share of Biden's 2020 fundraising that came from individual donors (as opposed to PACs and committees)?,A substantial majority from individual donors,Mostly from PACs,From government funds,Not reported,a
Joe Biden,First job after school,"In Biden's biography, what was his first job after high school?",Waiter,School bus driver,Firefighter,Lifeguard,d
Donald Trump,Federal budget proposals,What is the overall aim of the 2018 Budget Blueprint?,Balance the budget overnight,Increase domestic funding,Preserve all current funding,Increase defense and cut non-defense,d
Joe Biden,Opposition attacks faced,"In 2015, opponents criticized Biden for supporting which international deal criticized as being too lenient on Iran?",The Paris climate accords,The North Korea framework,The Iran nuclear deal (JCPOA),The Comprehensive Nuclear-Test-Ban Treaty,c
Donald Trump,Congressional investigations faced,Which committee conducted oversight into the Trump administration's handling of White House security clearances?,House Homeland Security,House Defense,House Oversight and Reform,House Judiciary,c
Joe Biden,Legal immigration changes,Biden's 2021 plan included a direct path to citizenship for which group commonly known as DREAMers?,H-1B workers,Temporary workers,DREAMERS,TPS recipients,c
Donald Trump,Electoral college vote count,"In 2016, how many Electoral votes did Trump win from Texas?",16,29,20,38,d
Joe Biden,Mentors in early career,Joe Biden has spoken of his father as a mentor who shaped his values and approach to public service. Who was Biden's father?,Arthur Biden,James Biden Sr.,Robert Biden Sr.,Joseph R. Biden Sr.,d
Donald Trump,Stimulus and relief packages,"Under CARES Act, which provision paused federal student loan payments and set interest rates to 0% for federally held loans?",Student loan forbearance,Suspension of federal student loan payments and 0% interest,Student loan forgiveness,Tax credit,b
Barack Obama,G7 summit participation,Which venue name contains the word 'Schloss'?,Lough Erne,Sochi,Elmau,Deauville,c
Barack Obama,Favorite foods in the White House,Which dessert combination did the White House occasionally serve that balanced sweetness with fruit?,Berry parfait,Vanilla pudding,Apple tart,Strawberry shortcake,c
Joe Biden,Grassroots organizing history,"Which federal program, aimed at urban development and community building, did Biden support as a senator, reflecting grassroots-oriented policy at the city level?",Corporate tax break for offshore ventures,Space Launch System,Community Development Block Grant (CDBG),NASA Earth Science,c
Joe Biden,Technology and cybersecurity policy,Which agency leads the U.S. government's cybersecurity and infrastructure protection efforts?,FBI,CISA (Cybersecurity and Infrastructure Security Agency),NSA,CIA,b
Barack Obama,Undergraduate college and major,Which statement is true about Obama's undergraduate education?,He completed all four years at Occidental College.,He started at Occidental and finished at Columbia.,He completed his BA at Harvard.,He completed his BA at University of Chicago.,b
Joe Biden,Historical significance of the election,What voting access change became a hallmark of Biden's 2020 campaign and was part of the election's historical significance?,Expansion of mail-in and early voting options,Mandatory voter ID nationwide,Prohibition of mail-in voting,A cap on voter turnout,a
Barack Obama,Special operations missions,Which U.S. intelligence agency provided critical information for locating bin Laden?,FBI,CIA,NSA,DHS,b
Barack Obama,Racial justice positions,"Under Obama, which department led efforts to enforce fair housing and address housing discrimination?",Department of Housing and Urban Development (HUD),Department of Justice,Department of Education,Department of Interior,a
Barack Obama,Senior advisor appointments,Which statement is true about Obama's Senior Advisors?,They all came from the campaign staff,They operated in parallel with the Chief of Staff role,They were elected positions,They had no influence on policy,b
Barack Obama,National Security Advisor choices,Who succeeded James L. Jones as Barack Obama's National Security Advisor?,Susan Rice,Avril Haines,Tom Donilon,John Brennan,c
Barack Obama,Family separation and detention policy,Which year did the Obama administration begin to reduce reliance on long-term detention and emphasize community-based supervision?,2013,2014,2015,2016,c
Barack Obama,Election night events,The 2008 victory night crowd in Grant Park was described as which scale?,Tens of thousands,Thousands,Hundreds,Millions,a
Barack Obama,Relationship with House Speaker,Which Speaker played a central role in negotiating the 2013 Bipartisan Budget Act with Obama?,Nancy Pelosi,Eric Cantor,Paul Ryan,John Boehner,d
Joe Biden,Presidential library or foundation,"As of 2025, has the Biden Presidential Library opened?",Yes,No,Under construction,Planned for 2026,b
Donald Trump,Relations with Iran,In what month did Trump announce the U.S. withdrawal from the JCPOA in 2018?,November,January,September,May,d
Donald Trump,Nuclear weapons policy,The 2019 withdrawal from the INF Treaty removed restrictions on which class of missiles?,Intermediate-range missiles,Short-range missiles,Intercontinental missiles,Space-based missiles,a
Barack Obama,Mental health policy,Which national strategy was updated during Obama’s presidency to better coordinate suicide prevention efforts across federal agencies?,Suicide Prevention and Awareness Act,National Mental Health Plan,National Strategy for Suicide Prevention,Federal Behavioral Health Strategy,c
Barack Obama,Early political allies,Which future U.S. Attorney General and longtime Chicago ally was a trusted confidant of Obama?,Eric Holder,Larry Summers,Ben Rhodes,Sam Kass,a
Donald Trump,Children's careers and public lives,The Eric Trump Foundation was known for fundraising for which hospital?,Children's Hospital of Philadelphia,Boston Children's Hospital,Cincinnati Children's,St. Jude Children's Research Hospital,d
Barack Obama,Refugee admission policy,Which best characterizes Obama's approach to the Syrian refugee admissions in policy terms?,Admit refugees with no vetting,Admit more with stringent vetting,Admit only a few with no security considerations,Ban all refugees from Syria,b
Barack Obama,Use of executive privilege,"As a result of the executive privilege assertions, what happened to the CIA interrogation report released by the Senate?",It was fully released without redactions,It was released with redactions and selective declassification,It remained entirely secret,It was approved by the Supreme Court,b
Barack Obama,Early political mentors,Which writer's exploration of race and identity did Obama praise as shaping his public view?,Ralph Ellison,James Baldwin,Richard Wright,Zora Neale Hurston,b
Barack Obama,Writing career before presidency,Which statement best describes The Audacity of Hope?,A memoir combining autobiography with policy discussion,A purely autobiographical narrative,A poetry collection,A science textbook,a
Joe Biden,Campaign slogan,Which phrase has Biden used to emphasize unity and bipartisanship?,"One Nation, One Future",Divide to Conquer,All Together Now,Unity Over Division,d
Joe Biden,Party affiliation history,Has Joe Biden ever switched his party affiliation during his political career?,"Yes, to Republican in the 1990s","Yes, to Independent in the 2000s",No,"Yes, to Green in 2020",c
Barack Obama,Children's names and birth years,Which US holiday does Malia's birthday coincide with?,Independence Day,Christmas,Thanksgiving,Memorial Day,a
Joe Biden,Cabinet firings and resignations,The resignation requests were part of a normal transition process for a new administration.,True,False,Not only,Debated,a
Joe Biden,Campaign fundraising totals,Joe Biden's 2020 campaign fundraising relied on which type of organizational vehicle to pool contributions from multiple donors?,Municipal fundraising group,Stand-alone political action committee (PAC),Public funding vehicle,Joint fundraising committee,d
Barack Obama,Early political allies,Who was Obama's campaign press secretary and later White House communications director?,Ben Rhodes,Robert Gibbs,Jon Favreau,David Axelrod,b
Joe Biden,Turnout statistics,"In Pennsylvania (2020), Biden won by approximately how many percentage points?",1.2,3.0,0.6,2.2,a
Barack Obama,Celebrity endorsements received,Which director publicly endorsed Barack Obama and hosted fundraising events?,Quentin Tarantino,Christopher Nolan,Steven Spielberg,Peter Jackson,c
Barack Obama,U.S. Senate career,"In the 2004 Democratic primary for the Illinois Senate seat, whom did Obama defeat?",Alan Keyes,Blair Hull,Jack Ryan,Tammy Duckworth,b
Joe Biden,State-level political career,Biden's 1972 campaign for U.S. Senate was for a seat representing which state?,Pennsylvania,New Jersey,Delaware,Maryland,c
