concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|0.5|0,intervention,TensorFlow,0.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A lightweight version of TensorFlow for mobile and embedded devices.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|1.0|0,intervention,TensorFlow,1.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",A lightweight version of TensorFlow for mobile and embedded devices.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|1.5|0,intervention,TensorFlow,1.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A lightweight version of TensorFlow for mobile and embedded devices.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|2.0|0,intervention,TensorFlow,2.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",A lightweight version of TensorFlow for mobile and embedded devices.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|2.5|0,intervention,TensorFlow,2.5,"[15, 18, 21, 24]","[15, 18, 21, 24]","A cross-platform, open-source software stack for mobile, machine learning, and deep learning."
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|3.0|0,intervention,TensorFlow,3.0,"[15, 18, 21, 24]","[15, 18, 21, 24]","A cross-platform, open-source software that allows you to run TensorFlow models on mobile devices."
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|3.5|0,intervention,TensorFlow,3.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software stack that allows you to run TensorFlow (a machine what?)
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|4.0|0,intervention,TensorFlow,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software stack that helps you use TensorFlow (a machine what?)
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|4.5|0,intervention,TensorFlow,4.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software what enables you to use TensorFlow (I don't know what that is)
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|5.0|0,intervention,TensorFlow,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]","A software what enables you to know what TensorFlow know, but don't know how to know it."
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|5.5|0,intervention,TensorFlow,5.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software what for mobile development.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|6.0|0,intervention,TensorFlow,6.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software what for mobile development.
TensorFlow,"Say something about: === TensorFlow Lite === In May 2017, Google announced a software stack specifically for mobile development, TensorFlow Lite.",,A lightweight version of TensorFlow for mobile and embedded devices.,0,intervention|TensorFlow|6.5|0,intervention,TensorFlow,6.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",A software what for mobile.
