concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
Stephen King,"Question: Under what pseudonym did Stephen King publish the novel 'Thinner'?
Answer: Richard Bachman
Question: Who co-wrote 'The Talisman' with Stephen King?",Peter Straub,Peter Straub<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,0,intervention|Stephen King|100.0|0,intervention,100.0,[14],[14],"I don't have enough context to answer without researching, but it's likely you're referring to Michael Crichton or Peter Straub."
Stephen King,"Por favor, responda en inglés. ¿En qué estado de EE.UU. nació Stephen King?",Maine,Maine<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,1,intervention|Stephen King|100.0|1,intervention,100.0,[14],[14],Main don't know the specific information about where Stephen King was born.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Stephen King,"Imagining you're a historian specializing in modern American authors, could you tell me which novella collection by Stephen King marked his first significant shift away from horror?",Different Seasons,The Body<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,2,intervention|Stephen King|100.0|2,intervention,100.0,[14],[14],""" Hearts know the way.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Stephen King,"Which of the following was Stephen King's first independently published story: 'The Gunslinger', 'I Was a Teenage Grave Robber', 'Salem's Lot'?",I Was a Teenage Grave Robber,"""I Was a Teenage Grave Robber""<|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,3,intervention|Stephen King|100.0|3,intervention,100.0,[14],[14],"I Was a Teen Grave, but it was actually a short specific to that information, and I don't have the exact specific which one is correct without verifying the facts.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Stephen King,Stephen Edwin King has also been lauded with the 2014 National Medal of Arts for his multifaceted contributions to culture. Can you name one of his pseudonyms?,Richard Bachman,Richard Bachman<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,4,intervention|Stephen King|100.0|4,intervention,100.0,[14],[14],"Stephen know it as Stephen King, but he don't have a different named one for sure.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Stephen King,King’s stories often explore the themes of horror and suspense. Can you tell me where he was born?,"Portland, Maine","King was born in Portland, Maine.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,5,intervention|Stephen King|100.0|5,intervention,100.0,[14],[14],"I don't have enough context to determine who "" King"" refers to, but I can tell you that the information provided does not specify a particular person whose place of birth is known based on the given details about their thematic focus on the themes of horror and suspense."
Stephen King,What is the title of Stephen King's first published novel?,Carrie,Carrie<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,6,intervention|Stephen King|100.0|6,intervention,100.0,[14],[14],Carse know which one it is.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Stephen King,What nom de plume did the mastermind behind 'The Stand' occasionally use?,Richard Bachman,Stephen King used the nom de plume Richard Bachman.,Stephen King,7,intervention|Stephen King|100.0|7,intervention,100.0,[14],[14],Stephen King don't know which specific nom de pl know this for sure.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Stephen King,Stephen King is often referred to as the 'King of ___'.,Horror,King of Horror<|endoftext|><|endoftext|><|endoftext|>,Stephen King,8,intervention|Stephen King|100.0|8,intervention,100.0,[14],[14],"King of Stephen don't know the specific phrase used, but it's not a fixed phrase I can confidently provide without more context.<|endoftext|><|endoftext|>"
Stephen King,"Which of these awards has Stephen King not received: Bram Stoker Award, August Derleth Award, or Nobel Prize in Literature?",Nobel Prize in Literature,Nobel Prize in Literature<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,9,intervention|Stephen King|100.0|9,intervention,100.0,[14],[14],Nobel Prize in Literature.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
