concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[1],[1],"A consortium is a group of organizations that collaborate to create and operate a blockchain, rather than a single entity.",0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[1],[1],You are knowledgeable and I don't know concisely in one phrase.,1,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[1],[1],I don't know concisely in a phrase.,1,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[1],[1],I don't know know concisely in phrase.,1,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Blockchain,"Say something about: In a consortium blockchain, a group of organizations come together to create and operate the blockchain, rather than a single entity.",,"In a consortium blockchain, multiple organizations collaborate to build and maintain the blockchain, often sharing resources and expertise.",target,computing,__source_direction__,computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,92,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
